repo,stars,num_commits,test_ratio,test_files,java_files,has_build_system,has_ci_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
flink-connector-hive,9,782.0,0.2112,68,322,True,True,Java,22,2022-11-23 22:02:40+00:00,2025-02-18 10:14:30+00:00,817.0
fory,4068,1574.0,0.2711,164,605,True,True,Java,340,2023-04-28 04:59:26+00:00,2025-11-22 02:17:21+00:00,938.0
tsfile,164,1386.0,0.2074,162,781,True,True,Java,84,2018-11-19 03:31:03+00:00,2025-11-20 02:01:00+00:00,2557.0
uima-ducc,1,4948.0,0.039,46,1178,True,False,Java,0,2013-01-02 18:47:50+00:00,2020-05-27 12:41:11+00:00,2701.0
bifromq,729,697.0,0.2581,455,1763,True,True,Java,75,2023-05-29 07:27:31+00:00,2025-11-20 01:20:04+00:00,905.0
cloudberry-pxf,4,1431.0,0.3647,209,573,False,True,Java,9,2015-09-19 00:33:01+00:00,2025-06-24 13:09:38+00:00,3566.0
netbeans-antora-tutorials,10,681.0,0.0,0,8,False,True,Java,533,2019-01-06 10:32:15+00:00,2025-11-16 21:55:21+00:00,2506.0
gravitino,2337,3218.0,0.2331,691,2964,True,True,Java,670,2023-04-23 02:09:00+00:00,2025-11-22 09:11:17+00:00,944.0
dubbo-integration-cases,5,1585.0,0.1453,86,592,True,True,Java,18,2018-04-28 09:25:30+00:00,2025-11-13 08:02:39+00:00,2755.0
plc4x-extras,15,548.0,0.1888,27,143,True,True,Java,17,2024-04-04 19:35:16+00:00,2025-11-21 09:37:23+00:00,595.0
xerces-j,5,5651.0,0.074,62,838,True,True,Java,11,1999-11-09 01:10:52+00:00,2025-11-21 23:50:09+00:00,9509.0
openoffice-devtools,2,655.0,0.1176,264,2244,False,False,Java,1,2012-11-26 03:32:20+00:00,2025-11-01 21:04:12+00:00,4723.0
polaris,1743,2153.0,0.2349,252,1073,True,True,Java,332,2024-05-29 18:44:28+00:00,2025-11-21 23:01:53+00:00,541.0
